Plate,Hour,Row,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12
1,24,A,None,None,None,None,None,None,None,None,None,None,None,None
1,24,B,None,0,1,2,3,4,5,6,7,8,DMSO,None
1,24,C,None,0,1,2,3,4,5,6,7,8,DMSO,None
1,24,D,None,0,1,2,3,4,5,6,7,8,DMSO,None
1,24,E,None,0,1,2,3,4,5,6,7,8,DMSO,None
1,24,F,None,0,1,2,3,4,5,6,7,8,DMSO,None
1,24,G,None,0,1,2,3,4,5,6,7,8,DMSO,None
1,24,H,None,None,None,None,None,None,None,None,None,None,None,None
1,24,A,None,None,None,None,None,None,None,None,None,None,None,None
1,24,B,None,0,1,2,3,4,5,6,7,8,DMSO,None
1,24,C,None,0,1,2,3,4,5,6,7,8,DMSO,None
1,24,D,None,0,1,2,3,4,5,6,7,8,DMSO,None
1,24,E,None,0,1,2,3,4,5,6,7,8,DMSO,None
1,24,F,None,0,1,2,3,4,5,6,7,8,DMSO,None
1,24,G,None,0,1,2,3,4,5,6,7,8,DMSO,None
1,24,H,None,None,None,None,None,None,None,None,None,None,None,None
2,24,A,None,None,None,None,None,None,None,None,None,None,None,None
2,24,B,None,0,1,2,3,4,5,6,7,8,DMSO,None
2,24,C,None,0,1,2,3,4,5,6,7,8,DMSO,None
2,24,D,None,0,1,2,3,4,5,6,7,8,DMSO,None
2,24,E,None,0,1,2,3,4,5,6,7,8,DMSO,None
2,24,F,None,0,1,2,3,4,5,6,7,8,DMSO,None
2,24,G,None,0,1,2,3,4,5,6,7,8,DMSO,None
2,24,H,None,None,None,None,None,None,None,None,None,None,None,None
2,24,A,None,None,None,None,None,None,None,None,None,None,None,None
2,24,B,None,0,1,2,3,4,5,6,7,8,DMSO,None
2,24,C,None,0,1,2,3,4,5,6,7,8,DMSO,None
2,24,D,None,0,1,2,3,4,5,6,7,8,DMSO,None
2,24,E,None,0,1,2,3,4,5,6,7,8,DMSO,None
2,24,F,None,0,1,2,3,4,5,6,7,8,DMSO,None
2,24,G,None,0,1,2,3,4,5,6,7,8,DMSO,None
2,24,H,None,None,None,None,None,None,None,None,None,None,None,None
3,48,A,None,None,None,None,None,None,None,None,None,None,None,None
3,48,B,None,0,1,2,3,4,5,6,7,8,DMSO,None
3,48,C,None,0,1,2,3,4,5,6,7,8,DMSO,None
3,48,D,None,0,1,2,3,4,5,6,7,8,DMSO,None
3,48,E,None,0,1,2,3,4,5,6,7,8,DMSO,None
3,48,F,None,0,1,2,3,4,5,6,7,8,DMSO,None
3,48,G,None,0,1,2,3,4,5,6,7,8,DMSO,None
3,48,H,None,None,None,None,None,None,None,None,None,None,None,None
3,48,A,None,None,None,None,None,None,None,None,None,None,None,None
3,48,B,None,0,1,2,3,4,5,6,7,8,DMSO,None
3,48,C,None,0,1,2,3,4,5,6,7,8,DMSO,None
3,48,D,None,0,1,2,3,4,5,6,7,8,DMSO,None
3,48,E,None,0,1,2,3,4,5,6,7,8,DMSO,None
3,48,F,None,0,1,2,3,4,5,6,7,8,DMSO,None
3,48,G,None,0,1,2,3,4,5,6,7,8,DMSO,None
3,48,H,None,None,None,None,None,None,None,None,None,None,None,None
4,48,A,None,None,None,None,None,None,None,None,None,None,None,None
4,48,B,None,0,1,2,3,4,5,6,7,8,DMSO,None
4,48,C,None,0,1,2,3,4,5,6,7,8,DMSO,None
4,48,D,None,0,1,2,3,4,5,6,7,8,DMSO,None
4,48,E,None,0,1,2,3,4,5,6,7,8,DMSO,None
4,48,F,None,0,1,2,3,4,5,6,7,8,DMSO,None
4,48,G,None,0,1,2,3,4,5,6,7,8,DMSO,None
4,48,H,None,None,None,None,None,None,None,None,None,None,None,None
4,48,A,None,None,None,None,None,None,None,None,None,None,None,None
4,48,B,None,0,1,2,3,4,5,6,7,8,DMSO,None
4,48,C,None,0,1,2,3,4,5,6,7,8,DMSO,None
4,48,D,None,0,1,2,3,4,5,6,7,8,DMSO,None
4,48,E,None,0,1,2,3,4,5,6,7,8,DMSO,None
4,48,F,None,0,1,2,3,4,5,6,7,8,DMSO,None
4,48,G,None,0,1,2,3,4,5,6,7,8,DMSO,None
4,48,H,None,None,None,None,None,None,None,None,None,None,None,None
5,72,A,None,None,None,None,None,None,None,None,None,None,None,None
5,72,B,None,0,1,2,3,4,5,6,7,8,DMSO,None
5,72,C,None,0,1,2,3,4,5,6,7,8,DMSO,None
5,72,D,None,0,1,2,3,4,5,6,7,8,DMSO,None
5,72,E,None,0,1,2,3,4,5,6,7,8,DMSO,None
5,72,F,None,0,1,2,3,4,5,6,7,8,DMSO,None
5,72,G,None,0,1,2,3,4,5,6,7,8,DMSO,None
5,72,H,None,None,None,None,None,None,None,None,None,None,None,None
5,72,A,None,None,None,None,None,None,None,None,None,None,None,None
5,72,B,None,0,1,2,3,4,5,6,7,8,DMSO,None
5,72,C,None,0,1,2,3,4,5,6,7,8,DMSO,None
5,72,D,None,0,1,2,3,4,5,6,7,8,DMSO,None
5,72,E,None,0,1,2,3,4,5,6,7,8,DMSO,None
5,72,F,None,0,1,2,3,4,5,6,7,8,DMSO,None
5,72,G,None,0,1,2,3,4,5,6,7,8,DMSO,None
5,72,H,None,None,None,None,None,None,None,None,None,None,None,None
6,72,A,None,None,None,None,None,None,None,None,None,None,None,None
6,72,B,None,0,1,2,3,4,5,6,7,8,DMSO,None
6,72,C,None,0,1,2,3,4,5,6,7,8,DMSO,None
6,72,D,None,0,1,2,3,4,5,6,7,8,DMSO,None
6,72,E,None,0,1,2,3,4,5,6,7,8,DMSO,None
6,72,F,None,0,1,2,3,4,5,6,7,8,DMSO,None
6,72,G,None,0,1,2,3,4,5,6,7,8,DMSO,None
6,72,H,None,None,None,None,None,None,None,None,None,None,None,None
6,72,A,None,None,None,None,None,None,None,None,None,None,None,None
6,72,B,None,0,1,2,3,4,5,6,7,8,DMSO,None
6,72,C,None,0,1,2,3,4,5,6,7,8,DMSO,None
6,72,D,None,0,1,2,3,4,5,6,7,8,DMSO,None
6,72,E,None,0,1,2,3,4,5,6,7,8,DMSO,None
6,72,F,None,0,1,2,3,4,5,6,7,8,DMSO,None
6,72,G,None,0,1,2,3,4,5,6,7,8,DMSO,None
6,72,H,None,None,None,None,None,None,None,None,None,None,None,None
